,Food,Description,Ingredients,Calories,Fat,Protein,Carbs
176,Falafel Burger,Deep-fried house made chickpea patties with cucumber mint spread and harissa pickled onions on a toasted sesame bun.,"House-made falafel patty (garbanzo beans, Panko breadcrumbs [bleached wheat flour, shortening {palm oil}, sugar, yeast, salt], fresh cilantro, bulgur wheat, lemon juice, iodized salt, garlic, ground cumin, crushed red pepper, ground black pepper), sesame hamburger bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy], vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), vegan mint sauce (Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], vegan sour cream [filtered water, coconut cream, expeller-pressed high-oleic safflower oil, organic coconut oil, organic tapioca maltodextrin. Contains less than 2% of natural flavors, tapioca starch, pectin, glucono delta lactone, gellan gum, organic lemon juice concentrate, calcium phosphate, locust bean gum, lactic acid, calcium lactate, guar gum, sea salt, sodium alginate], cucumber, fresh mint, tahini paste [contains sesame], lemon juice), tomatoes, pickled onions (red onion, red wine vinegar, beet sugar, kosher salt, green Jalapeno pepper, ground cumin, ground Cayenne pepper, smoked paprika), canola oil, butter lettuce",612.43,29.69,15.56,72.04
177,Curly Fries,Crispy curly fries lightly seasoned,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)",204.55,13.45,1.68,17.61
178,New York Chicken & Walnut Waldorf Salad,"Roasted chicken, apples, grapes, celery tossed in a citrus-yogurt dressing and topped with walnuts.","Apples, halal boneless skinless chicken breast, mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled vinegar. Contains less than 2% of salt, mustard seed, calcium disodium EDTA), celery, red and green grapes, walnuts, vanilla yogurt (cultured pasteurized grade a low-fat milk, sugar, water, modified food starch, natural flavor, annatto extract and turmeric, carrageenan, pectin, citric acid, vanilla extract, vitamin A palmitate, vitamin D3), beet sugar, lemon juice, ground white pepper, iodized salt",177.7,12.45,6.68,11.42
179,Tomato Sausage Stew,"Hearty sausag in a bolognese sauce, seasoned with celery, onions, and garlic. Seasoned with white pepper and parsley flakes",,196.17,1.58,13.05,33.4
180,Hot & Sour Soup,"Mushrooms sauteed with ginger, garlic, and bamboo shoots. Simmered in chicken broth and soy sauce",,,,,
181,Red Skin Potato Salad with Eggs,,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum",230.01,13.01,3.0,24.0
182,Classic California Pasta Salad,,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder",140.0,4.0,4.0,22.0
183,Chopped Salad,"Chopped romain lettuce, olives, crutons, cucumbers, and tomatoes.",,-1.0,-1.0,-1.0,-1.0
184,Caesar Salad,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing","Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)",501.86,41.48,15.54,23.93
185,Classic Coleslaw,"Cabbage, shredded carrots, bell peppers and cilantro in a cole saw dressing","Cabbage, shredded carrots, bell peppers and cilantro in a cole saw dressing",,,,
186,Curried Tortellini Salad,Curried cheese tortellini salad with mayonnaise and finely diced onion and celery,"Cheese tortellini pasta (contains wheat/gluten egg, and dairy), red seedless grapes, mayonnaise (contains egg and soybean oil), red onion, celery, curry powder, iodized salt, ground black pepper",166.21,10.29,2.74,16.37
187,White Bean Dip,"Pureed white beans with canola and olive oil, garlic, and fresh basil.",,3795.4,125.37,162.51,494.67
188,Romescu,A savory spread of blended almonds and red bell pepper.,"Red bell pepper, almonds, red wine vinegar, canola/olive oil blend, garlic, iodized salt, black caraway seed, ground cumin",26.97,2.16,0.66,1.53
189,Vegan Lemon Drop Cookie,,"Unbleached wheat flour, organic evaporated cane sugar, sustainable RSPO palm oil shortening, pure lemon extract, grape juice, rice dextrins, sea salt, baking powder",157.0,10.0,2.0,37.0
190,Strawberry Shortcake,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",,,,,
191,Vegan Oatmeal Raisin Cookie,,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda",177.0,6.1,3.0,41.0
192,Breakfast Burrito Bar,"Simple breakfast burrito base filled with eggs, cheese, and customizable toppings",,-1.0,-1.0,-1.0,-1.0
193,Shredded Pork,,,,,,
194,Pinto Beans,"Pinto beans cooked with bell peppers, onions, and spices","Pinto beans, reserved liquid from canned beans, green bell peppers, yellow onion, canola oil, garlic, iodized salt, fresh basil, dark chili powder, ground black pepper, ground cumin, paprika, thyme, Mediterranean oregano, lemon juice, fresh cilantro",55.53,0.97,3.29,9.94
195,Pork Link Sausage,Traditional pork sausage with a touch of fennel and black pepper,"Pork sausage link (pork, water. Contains 2% or less of salt, sugar, spices, chili pepper, flavoring, smoke flavor. Packed in collagen casing)",335.44,32.15,8.38,1.4
196,Scrambled Eggs,Softly scrambled cage-free eggs,"Cage-free eggs, canola oil",131.74,8.95,11.11,0.0
197,Spicy Potato Wedges,Crispy-fried and seasoned potato wedges,"Potato wedges (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, paprika oleoresin, turmeric oleoresin, degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, house-made seasoned salt (iodized salt, onion powder, granulated garlic, beet sugar, ground white pepper, ground paprika)",177.55,12.48,1.4,14.94
198,White Rice,Steamed white rice,"White rice, water",161.7,0.26,2.97,35.64
199,Scrambled Egg Whites,,"Cage-free egg whites, canola oil",95.1,5.18,10.15,0.78
200,Tofu Scramble,"Scrambled firm tofu cooked with onions, bell peppers, and soy sauce.","Organic firm tofu (contains soy), yellow onion, red and green bell peppers, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), nutritional yeast, canola oil, garlic, ground turmeric",72.17,4.54,5.95,3.36
201,Platform Hours 7am-10am,,,,,,
202,Southwestern Omelet,"Fluffy omelet filled with ham, roasted pepper and onions, cheese, and our house Chipotle sour cream","Cage-free eggs, canola/olive oil blend, smoked deli ham (pork cured with water, salt, sugar, dextrose, sodium phosphate, sodium erythorbate, sodium nitrite), house Chipotle sour cream (Mexican sour cream [cultured cream. Contains less than 2% of whey, modified food starch {corn}, sodium tripolyphosphate, carrageenan, calcium sulfate, locust bean gum, guar gum, sat, gelatin, potassium sorbate], Chipotle Adobo pepper sauce [water, tomato paste, dried Chipotle peppers, distilled vinegar, corn oil. Contains 2% or less of iodized salt, corn starch, onion powder, garlic powder, spices]), milk yellow Cheddar cheese, red and green bell peppers, yellow onion",1161.33,113.66,36.34,3.52
203,Cheese Omelet,"Fluffy egg omelet filled with Cheddar and Monterey Jack cheese, topped with our house phesto","Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)",616.95,53.92,30.24,0.51
204,Spicy Potato Wedges,Crispy-fried and seasoned potato wedges,"Potato wedges (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, paprika oleoresin, turmeric oleoresin, degermed yellow corn meal, dextrose, modified food starch, garlic powder, onion powder, rice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, house-made seasoned salt (iodized salt, onion powder, granulated garlic, beet sugar, ground white pepper, ground paprika)",177.55,12.48,1.4,14.94
205,House Roasted Salsa,"Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro","Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt",10.15,0.4,0.32,1.6
206,Eggs Fried to Order,"Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",Eggs,71.5,4.75,6.28,0.36
207,Assorted Yogurts,,,,,,
208,Housemade Granola,Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses",360.18,17.33,8.03,47.13
209,Oatmeal,Hot old-fashioned rolled oats (may contain wheat/gluten),"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt.",105.04,1.94,3.6,18.85
210,Fruit Salad,A delicious and nutritious blend of fresh fruit!,"Cantaloupe, pineapple, red grapes, honeydew melon",42.3,0.64,0.49,9.79
211,Hard Boiled Eggs,"Cage-free, hard boiled eggs",Cage free eggs,71.5,4.76,6.28,0.36
212,Mini Poppy Seed Bagel,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn, malted barley), salt, enzyme, yeast, white distilled vinegar, poppy seeds. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",390.0,4.0,14.0,74.0
213,Cranberry Orange Muffin,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Sugar, enriched bleached wheat flour, modified food starch, soybean oil, dry whey, sodium aluminum phosphate, baking soda, salt, vital wheat gluten, propylene glycol mono and diglycerides, sodium stearoyl lactylate, dextrose, corn starch, tricalcium phosphate, soya flour, dry whole eggs, natural and artificial flavor, water, ascorbic acid, alpha tocopherol, citric acid, cranberries, eggs, soybean oil, water, potassium sorbate, orange color (water, high fructose corn syrup, glycerin, FD&C yellow 6, sugar, modified food starch, carrageenan, potassium sorbate, sodium benzoate, citric acid, xanthan gum). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",350.01,18.0,4.0,42.0
214,Old Fashioned Glazed Donut,Produced by Fluffy Donuts (L),,-1.0,-1.0,-1.0,-1.0
215,Vegan Chocolate Donut,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy","Donut ingredients: Unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour, leavening, isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier, spice, beta carotene, water, palm oil. Icing ingredients: Powdered sugar, chocolate (unsweetened chocolate, potassium carbonate, sugar, cocoa butter, soya lecithin), corn syrup, vanilla extract, water. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",380.0,22.0,4.0,43.0
